quality,subgroup,size_sg,size_dataset,positives_sg,positives_dataset,size_complement,relative_size_sg,relative_size_complement,coverage_sg,coverage_complement,target_share_sg,target_share_complement,target_share_dataset,lift,ano
0.007717062038999445,tipo_pista=='simples' AND uso_solo=='rural',46440,127675,2964,5440,81235,0.3637360485607989,0.6362639514392011,0.5448529411764705,0.4551470588235294,0.06382428940568476,0.03047947313350157,0.04260818484433131,1.497934954020368,2007
0.007674265950484576,tipo_acidente=='colisão frontal',4581,127675,1175,5440,123094,0.03588016448012532,0.9641198355198747,0.21599264705882354,0.7840073529411765,0.25649421523684784,0.0346483175459405,0.04260818484433131,6.019834362199366,2007
0.007312393724750493,tipo_acidente=='colisão frontal' AND tipo_pista=='simples',3999,127675,1104,5440,123676,0.03132171529273546,0.9686782847072646,0.20294117647058824,0.7970588235294118,0.2760690172543136,0.03505934862058928,0.04260818484433131,6.479248488592737,2007
0.006850812314913945,tipo_pista=='simples',71637,127675,3927,5440,56038,0.561088701781868,0.43891129821813196,0.721875,0.278125,0.05481804095648896,0.026999536029123094,0.04260818484433131,1.2865612829264208,2007
0.006821016424355871,tipo_acidente=='atropelamento de pessoa',3852,127675,1035,5440,123823,0.030170354415508128,0.9698296455844919,0.19025735294117646,0.8097426470588235,0.26869158878504673,0.035574973954758005,0.04260818484433131,6.306102683479935,2007
0.00644092036450889,fase_dia=='plena noite',42871,127675,2649,5440,84804,0.3357822596436264,0.6642177403563736,0.4869485294117647,0.5130514705882353,0.06179002122647011,0.03291118343474365,0.04260818484433131,1.4501913529576418,2007
0.006308242153263801,fase_dia=='plena noite' AND tipo_pista=='simples',24751,127675,1860,5440,102924,0.19385940865478754,0.8061405913452124,0.34191176470588236,0.6580882352941176,0.07514847884933942,0.0347829466402394,0.04260818484433131,1.7637099332884947,2007
0.00630314887796303,tipo_acidente=='colisão frontal' AND uso_solo=='rural',2916,127675,929,5440,124759,0.022839240258468767,0.9771607597415313,0.17077205882352942,0.8292279411764706,0.31858710562414266,0.03615771206886878,0.04260818484433131,7.4771339541475035,2007
0.006260817180824578,uso_solo=='rural',65214,127675,3578,5440,62461,0.5107812805952614,0.4892187194047386,0.6577205882352941,0.3422794117647059,0.054865519673689696,0.029810601815532894,0.04260818484433131,1.2876755927092522,2007
0.006161571467904257,tipo_pista=='simples' AND tracado_via=='reta',48402,127675,2849,5440,79273,0.3791031916976699,0.6208968083023302,0.5237132352941176,0.4762867647058823,0.05886120408247593,0.032684520580777816,0.04260818484433131,1.3814529836820064,2007
0.006141689136980082,causa_acidente=='outras' AND tipo_pista=='simples',24147,127675,1813,5440,103528,0.18912864695515957,0.8108713530448404,0.3332720588235294,0.6667279411764706,0.07508179069863752,0.03503400046364269,0.04260818484433131,1.7621447844574534,2007
0.006115519732051697,tipo_pista=='simples' AND tracado_via=='reta' AND uso_solo=='rural',30351,127675,2074,5440,97324,0.23772077540630507,0.7622792245936949,0.38125,0.61875,0.06833382755098678,0.03458550819941638,0.04260818484433131,1.6037723221640143,2007
